time	latitude	longitude
1	50.29727	18,882484
2	50,297577	18,883972
3	50,29719	18,885649
4	50,297066	18,886265
5	50,296764	18,888569
6	50,296497	18,890978
7	50,296234	18,89346
8	50,29597	18,895927
9	50,295753	18,89841
10	50,29575	18,900986
11	50,29599	18,90369
12	50,29643	18,906439
13	50,29678	18,909374
14	50,29667	18,912542
15	50,296463	18,91573
16	50,296055	18,91887
17	50,29527	18,92221
18	50,294247	18,925064
19	50,292988	18,927734
20	50,29161	18,930162
21	50,28999	18,932184
22	50,288395	18,934082
23	50,2871		18,936443
24	50,286106	18,938995
25	50,28507	18,94135
26	50,28409	18,943806
27	50,283123	18,94634
28	50,28222	18,948938
29	50,281197	18,951336
30	50,27981	18,953306
31	50,278366	18,955183
32	50,27702	18,95724
33	50,275723	18,959448
34	50,27449	18,961678
35	50,273727	18,964397
36	50,273415	18,9675
37	50,272873	18,970451
38	50,27209	18,973265
39	50,271313	18,976048
40	50,270565	18,978746
41	50,269882	18,981302
42	50,2693		18,983395
43	50,268715	18,985304
44	50,268517	18,987
45	50,26849	18,987917
46	50,268463	18,988205
47	50,268387	18,988749
48	50,268215	18,989664
49	50,267834	18,989859
50	50,2668		18,989313
51	50,265713	18,988588
52	50,264824	18,988014
53	50,264187	18,987547
54	50,264004	18,987392
55	50,26335	18,987125
56	50,262394	18,986784
57	50,261276	18,986221
58	50,260075	18,985662
59	50,259		18,985249
60	50,25797	18,984848
61	50,25681	18,98448
62	50,255447	18,98404
63	50,254116	18,983315
64	50,2529		18,982504
65	50,25215	18,982138
66	50,251945	18,983223
67	50,25173	18,98455
68	50,252		18,98557
69	50,25235	18,986595
70	50,25209	18,988379
71	50,251774	18,99019
72	50,25143	18,992
73	50,251076	18,994003
74	50,25073	18,99595
75	50,25026	18,998026
76	50,249615	18,999702
77	50,248867	19,001427
78	50,24794	19,003412
79	50,24733	19,005968
80	50,247128	19,008406
81	50,247		19,010576
82	50,246872	19,013033
83	50,246693	19,015757
84	50,246483	19,018682
85	50,246284	19,021654
86	50,246094	19,024523
87	50,245907	19,027464
88	50,245693	19,03039
89	50,24534	19,033106
90	50,24489	19,035576
91	50,24444	19,03757
92	50,24394	19,039824
93	50,243446	19,042347
94	50,242897	19,044958
95	50,24235	19,047342
96	50,2423		19,047567
97	50,24144	19,049326
98	50,240116	19,051125
99	50,238926	19,052706
100	50,23773	19,053486
101	50,23634	19,054024
102	50,23489	19,054533
103	50,233387	19,055054
104	50,23192	19,055565
105	50,230522	19,056078
106	50,228886	19,056702
107	50,226997	19,057419
108	50,225407	19,05791
109	50,223648	19,058542
110	50,218216	19,060253
111	50,216526	19,05964
112	50,214935	19,05832
113	50,213394	19,056824
114	50,211803	19,055292
115	50,208035	19,051613
116	50,20525	19,048351
117	50,200993	19,051989
118	50,19929	19,051884
119	50,19768	19,050646
120	50,19636	19,048456
121	50,19556	19,046116
122	50,194466	19,044188
123	50,19295	19,042814
124	50,19147	19,041553
125	50,19001	19,040298
126	50,189285	19,039639
127	50,187824	19,038282
128	50,18635	19,036852
129	50,184963	19,034874
130	50,183617	19,032837
131	50,18213	19,03078
132	50,180515	19,028862
133	50,178967	19,027056
134	50,17747	19,025267
135	50,175743	19,023798
136	50,17395	19,022339
137	50,172203	19,020935
138	50,170464	19,019545
139	50,168503	19,01796
140	50,166786	19,016699
141	50,165012	19,016289
